author,text,predicted_sentiment,confidence,confident_score,collaborative_score,frustrated_score,blocked_score,neutral_score
pwang347,"Fix context size default + reload behaviour, add defensive fallbacks",neutral,0.694,0.117,0.055,0.053,0.081,0.694
lszomoru,Agents - extract the ChangesViewModel into a service,neutral,0.559,0.188,0.071,0.067,0.115,0.559
DonJayamanne,Implement session resource aliasing for untitled and real chat sessions,neutral,0.685,0.102,0.065,0.06,0.088,0.685
benibenj,Fix context key references,neutral,0.729,0.092,0.055,0.052,0.071,0.729
alexr00,Skip Copilot CLI 2nd reply in editor,neutral,0.607,0.148,0.06,0.068,0.116,0.607
alexdima,Prepare for 1.125.1,neutral,0.319,0.29,0.113,0.077,0.2,0.319
gjsjohnmurray,:lipstick: correct command capitalization in /causedByExtension response,neutral,0.64,0.138,0.06,0.061,0.101,0.64
jruales,build: keep Linux smoke test data off the small OS root disk,neutral,0.642,0.12,0.08,0.068,0.089,0.642
DonJayamanne,Optimize session restoration with parallel processing,neutral,0.602,0.15,0.08,0.069,0.1,0.602
vs-code-engineering[bot],fix: prevent expected Copilot auth error from leaking as unhandled rejection (fixes #321950),neutral,0.668,0.118,0.059,0.06,0.095,0.668
justschen,AH: honor yolo mode setting,neutral,0.51,0.192,0.08,0.086,0.132,0.51
dmitrivMS,Follow ups for Agent Host tools support,neutral,0.68,0.113,0.071,0.058,0.078,0.68
dmitrivMS,Add Tools to Chat Customizations,neutral,0.667,0.106,0.082,0.064,0.082,0.667
Copilot,Investigation: #321639 (GitHubLoginFailed) is unrelated to #321956,neutral,0.492,0.147,0.092,0.121,0.148,0.492
dmitrivMS,Show custom dialog for no updates available if possible,neutral,0.629,0.114,0.083,0.064,0.11,0.629
TylerLeonhardt,agentHost: fix subagent transcript replay + bump Claude/Codex SDKs,neutral,0.685,0.116,0.061,0.058,0.08,0.685
DonJayamanne,agentHost: speed up subagent session enrichment (parallel load + memoized reconstruction),neutral,0.663,0.127,0.067,0.06,0.083,0.663
tamuratak,Fix code block rendering logic to prevent unnecessary re-renders. Fix #277574,neutral,0.691,0.107,0.064,0.057,0.081,0.691
dmitrivMS,Fix hiding Update UI during active chat sessions,neutral,0.714,0.088,0.059,0.059,0.079,0.714
roblourens,Persist multi-root folder picker choice to new agent-host chats,neutral,0.694,0.115,0.058,0.051,0.082,0.694
sandy081,sessions: contribute workspace folder pill into session header meta row,neutral,0.696,0.103,0.059,0.059,0.082,0.696
justschen,AH: fix steered/queued messages sending immediately,neutral,0.624,0.142,0.062,0.059,0.113,0.624
roblourens,Gate Debug Local Agent Host action on chat.agentHost.enabled,neutral,0.688,0.109,0.067,0.056,0.079,0.688
sandy081,"sessions: Close, reopen, and delete chats in the agents window session view",neutral,0.638,0.133,0.065,0.066,0.098,0.638
roblourens,Show new local chat sessions in list without manual refresh,neutral,0.64,0.107,0.078,0.063,0.112,0.64
roblourens,agentHost: enable TAS rollout of chat.agentHost.enabled to Stable,neutral,0.662,0.128,0.067,0.056,0.087,0.662
vijayupadya,Support Responses API in Azure BYOK,neutral,0.698,0.102,0.062,0.058,0.079,0.698
Dmitriusan,Fix gitignore negation in child files not overriding parent/global rules,neutral,0.667,0.113,0.061,0.06,0.1,0.667
ashleylamont,"Fix commit characters in typescript property key strings, and improve completion tests",neutral,0.676,0.121,0.062,0.053,0.088,0.676
Nedunchezhiyan-M,Fix: typo 'continous' → 'continuous' in testing module,neutral,0.585,0.171,0.06,0.067,0.118,0.585
mxi-box,copilot/byok: add reasoning effort support for custom OAI models,neutral,0.656,0.124,0.075,0.062,0.083,0.656
Nedunchezhiyan-M,Fix: Guard against null model in inline edits word/line replacement view renders,neutral,0.699,0.104,0.059,0.059,0.079,0.699
Nedunchezhiyan-M,Fix: Git warning messages incorrectly shown with error styling,neutral,0.682,0.103,0.062,0.064,0.089,0.682
vs-code-engineering[bot],[OSS Tool] Fix OSS license entries: replace licenseDetail with fullLicenseText/fullLicenseTextUri,neutral,0.688,0.102,0.069,0.06,0.08,0.688
Nedunchezhiyan-M,Fix: typo 'continous' → 'continuous' in testing module,neutral,0.585,0.171,0.06,0.067,0.118,0.585
Nedunchezhiyan-M,Fix: rename 'continousMatchingGlobPattern' to 'continuousMatchingGlobPattern',neutral,0.616,0.13,0.069,0.067,0.118,0.616
n-gist,guarantee that return of TreeDataProvider.getChildren() is not mutated by vscode,neutral,0.53,0.162,0.072,0.076,0.158,0.53
JeffreyCA,Integrated terminal - fix stale OSC 8 link hover tooltip issues,neutral,0.693,0.117,0.059,0.055,0.076,0.693
XQZZZ13,Fix quoted ID parsing in check-requirements-linux.sh,neutral,0.694,0.109,0.06,0.058,0.079,0.694
