sha,author,author_login,message,date,hour_of_day,day_of_week,additions,deletions,total_changes,files_changed
4972ac9,Paul,pwang347,"Fix context size default + reload behaviour, add defensive fallbacks (#322882)",2026-06-25 08:34:40+00:00,8,Thursday,495,33,528,528
7785a5e,Ladislau Szomoru,lszomoru,Agents - extract the ChangesViewModel into a service (#322886),2026-06-25 08:32:38+00:00,8,Thursday,62,9,71,71
ec311c8,Don Jayamanne,DonJayamanne,Implement session resource aliasing for untitled and real chat sessions (#322875)  * Implement session resource aliasing for untitled and real chat se,2026-06-25 08:32:18+00:00,8,Thursday,537,82,619,619
4f77029,Benjamin Christopher Simmonds,benibenj,Merge pull request #322831 from microsoft/benibenj/relieved-whippet  Fix context key references,2026-06-25 08:18:01+00:00,8,Thursday,3,3,6,6
3cf8af2,Joaquín Ruales,jruales,build: keep Linux smoke test data off the small OS root disk (#322880),2026-06-25 07:50:18+00:00,7,Thursday,14,2,16,16
f487add,Don Jayamanne,DonJayamanne,Optimize session restoration with parallel processing (#322878)  * agentHost: optimize session restoration with parallel processing for subagent and p,2026-06-25 06:31:48+00:00,6,Thursday,15,11,26,26
99f465e,vs-code-engineering[bot],vs-code-engineering[bot],fix: prevent expected Copilot auth error from leaking as unhandled rejection (fixes #321950) (#321956)  trackSessionCreate observed the createSession ,2026-06-25 06:08:21+00:00,6,Thursday,6,1,7,7
b7ec359,Justin Chen,justschen,AH: honor yolo mode setting (#322870)  * AH: honor yolo mode setting  * Potential fix for pull request finding  Co-authored-by: Copilot Autofix powere,2026-06-25 05:16:48+00:00,5,Thursday,122,15,137,137
d452bbb,Dmitriy Vasyura,dmitrivMS,Follow ups for Agent Host tools support (#322871)  * Add Tools to Chat Customizations  * Detach from tool picker store.  * PR feedback  * PR feedback ,2026-06-25 04:53:43+00:00,4,Thursday,5,7,12,12
d06d6df,Dmitriy Vasyura,dmitrivMS,Show custom dialog for no updates available if possible (#322866),2026-06-25 04:15:51+00:00,4,Thursday,27,34,61,61
0631fed,Tyler James Leonhardt,TylerLeonhardt,agentHost: fix subagent transcript replay + bump Claude/Codex SDKs (#322865)  * agentHost: reconstruct prompt-less subagent transcripts on session reo,2026-06-25 04:08:35+00:00,4,Thursday,235,137,372,372
c6feb15,Don Jayamanne,DonJayamanne,agentHost: speed up subagent session enrichment (parallel load + memoized reconstruction) (#322674)  * Enhance subagent session handling: add eager re,2026-06-25 02:22:27+00:00,2,Thursday,350,62,412,412
1073827,Dmitriy Vasyura,dmitrivMS,Fix hiding Update UI during active chat sessions (#322857)  Co-authored-by: Copilot <copilot@github.com>,2026-06-25 01:00:06+00:00,1,Thursday,12,26,38,38
2e5d0d9,Rob Lourens,roblourens,Persist multi-root folder picker choice to new agent-host chats (#322855)  * Persist multi-root folder picker choice to new agent-host chats  The agen,2026-06-25 00:55:41+00:00,0,Thursday,86,5,91,91
c91ea91,Sandeep Somavarapu,sandy081,sessions: contribute workspace folder pill into session header meta row (#322848)  * sessions: contribute workspace folder pill into session header me,2026-06-25 00:37:17+00:00,0,Thursday,353,146,499,499
456061c,Justin Chen,justschen,AH: fix steered/queued messages sending immediately (#322802)  * AH: fix steered/queued messages sending immediately  * address feedback  * clean up c,2026-06-25 00:05:17+00:00,0,Thursday,176,25,201,201
314717f,Rob Lourens,roblourens,Gate Debug Local Agent Host action on chat.agentHost.enabled (#322853)  The 'Debug Local Agent Host Process In Dev Tools' command was only gated on Ch,2026-06-24 23:59:13+00:00,23,Wednesday,6,2,8,8
b1aa505,Sandeep Somavarapu,sandy081,"sessions: Close, reopen, and delete chats in the agents window session view (#322844)  * Open/close chats in the agents window session view  Add the a",2026-06-24 23:53:19+00:00,23,Wednesday,395,37,432,432
0b7f9b6,Rob Lourens,roblourens,agentHost: enable TAS rollout of chat.agentHost.enabled to Stable (#322852)  Add an `experiment: { mode: 'startup' }` hook to `chat.agentHost.enabled`,2026-06-24 23:52:05+00:00,23,Wednesday,10,5,15,15
9b0c342,Vijay Upadya,vijayupadya,Support Responses API in Azure BYOK (#322845)  * Support  Responses API in Azure BYOK  * feedback updates,2026-06-24 23:49:35+00:00,23,Wednesday,59,2,61,61
139c7e4,Connor Peet,connor4312,agentHost: ignore subagent mode changes so the session mode picker doesn't reset to Plan (#322841)  agentHost: ignore subagent mode changes so the ses,2026-06-24 23:20:25+00:00,23,Wednesday,19,0,19,19
c0018af,Megan Rogge,meganrogge,"Disconnect voice mode when mic permission is denied (#322768)  When getUserMedia fails (e.g. NotAllowedError), the voice session was left in a connect",2026-06-24 23:20:08+00:00,23,Wednesday,8,0,8,8
cfcd17b,Benjamin Christopher Simmonds,benibenj,sessions: improve session group drag and drop (#322846)  Hide group actions for archived sessions and refine list drag/drop so group and pinned target,2026-06-24 23:19:14+00:00,23,Wednesday,256,81,337,337
865f5a0,Josh Spicer,joshspicer,Load managed-settings.json from well-known disk path (#321870)  Add a file-based managed-settings delivery channel that reads managed-settings.json fr,2026-06-24 23:09:39+00:00,23,Wednesday,929,272,1201,1201
